task_id,statement_id,item_index,period_key,company_id,filing_id,parse_run_id,report_year,report_period,statement_name,scope,scope_name,item_name,canonical_name,value,raw_value,unit,currency,source_page_number,source_table_index,source_bbox,source,raw_item,imported_at,stock_code,stock_name,exchange
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,67,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,其他权益工具,,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""其他权益工具"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,67,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,其他权益工具,,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""其他权益工具"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,66,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,股本,share_capital,356626019.0,"356,626,019.00",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""股本"", ""values"": {""2024-12-31"": 356626019.0, ""2025-12-31"": 356626019.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""356,626,019.00"", ""2025-12-31"": ""356,626,019.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,66,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,股本,share_capital,356626019.0,"356,626,019.00",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""股本"", ""values"": {""2024-12-31"": 356626019.0, ""2025-12-31"": 356626019.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""356,626,019.00"", ""2025-12-31"": ""356,626,019.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,65,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,负债合计,total_liabilities,741462490.5,"741,462,490.50",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""负债合计"", ""values"": {""2024-12-31"": 741462490.5, ""2025-12-31"": 774265635.79}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""741,462,490.50"", ""2025-12-31"": ""774,265,635.79""}, ""canonical_name"": ""total_liabilities""}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,65,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,负债合计,total_liabilities,774265635.79,"774,265,635.79",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""负债合计"", ""values"": {""2024-12-31"": 741462490.5, ""2025-12-31"": 774265635.79}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""741,462,490.50"", ""2025-12-31"": ""774,265,635.79""}, ""canonical_name"": ""total_liabilities""}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,64,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,非流动负债合计,non_current_liabilities,3054383.68,"3,054,383.68",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""非流动负债合计"", ""values"": {""2024-12-31"": 3054383.68, ""2025-12-31"": 5171999.65}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""3,054,383.68"", ""2025-12-31"": ""5,171,999.65""}, ""canonical_name"": ""non_current_liabilities""}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,64,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,非流动负债合计,non_current_liabilities,5171999.65,"5,171,999.65",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""非流动负债合计"", ""values"": {""2024-12-31"": 3054383.68, ""2025-12-31"": 5171999.65}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""3,054,383.68"", ""2025-12-31"": ""5,171,999.65""}, ""canonical_name"": ""non_current_liabilities""}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,63,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,其他非流动负债,other_non_current_liabilities,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""其他非流动负债"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,63,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,其他非流动负债,other_non_current_liabilities,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""其他非流动负债"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,62,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,递延所得税负债,deferred_tax_liabilities,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""递延所得税负债"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,62,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,递延所得税负债,deferred_tax_liabilities,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""递延所得税负债"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,61,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,递延收益,deferred_income,1555297.96,"1,555,297.96",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""递延收益"", ""values"": {""2024-12-31"": 1555297.96, ""2025-12-31"": 623792.5}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""1,555,297.96"", ""2025-12-31"": ""623,792.50""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,61,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,递延收益,deferred_income,623792.5,"623,792.50",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""递延收益"", ""values"": {""2024-12-31"": 1555297.96, ""2025-12-31"": 623792.5}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""1,555,297.96"", ""2025-12-31"": ""623,792.50""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,60,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,预计负债,provisions,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""预计负债"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 4548207.15}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""4,548,207.15""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,60,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,预计负债,provisions,4548207.15,"4,548,207.15",元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""预计负债"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 4548207.15}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""4,548,207.15""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,59,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,长期应付职工薪酬,long_term_employee_benefits_payable,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""长期应付职工薪酬"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,59,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,长期应付职工薪酬,long_term_employee_benefits_payable,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""长期应付职工薪酬"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,58,2024-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,长期应付款,long_term_payables,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""长期应付款"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
00113ac5-d12a-402a-b709-a2db02eea12c,balance_sheet:parent_company,58,2025-12-31,co_34ff14fd5e430be6a320a6d1,filing_89fbfc92dec9f29c2fffc540,run_7df928131a61a5d166035d08,2025,FY,资产负债表,parent_company,母公司,长期应付款,long_term_payables,0.0,0.00,元,"",,76,[],"{""line"": 1772, ""table_index"": 76}","{""name"": ""长期应付款"", ""values"": {""2024-12-31"": 0.0, ""2025-12-31"": 0.0}, ""sources"": {""2024-12-31"": {""line"": 1772, ""table_index"": 76}, ""2025-12-31"": {""line"": 1772, ""table_index"": 76}}, ""raw_values"": {""2024-12-31"": ""0.00"", ""2025-12-31"": ""0.00""}, ""canonical_name"": null}",2026-05-16 03:50:36.522022+00,,茂硕电源,
