task_id,footnote_index,page_number,markdown_line,text,raw,imported_at
00113ac5-d12a-402a-b709-a2db02eea12c,50,,,□适用 不适用,"{""line"": null, ""text"": ""□适用 不适用"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 35, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,51,,,主要控股参股公司情况说明,"{""line"": null, ""text"": ""主要控股参股公司情况说明"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 35, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,52,,,报告期是否存在任期内董事和高级管理人员离任的情况,"{""line"": null, ""text"": ""报告期是否存在任期内董事和高级管理人员离任的情况"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 41, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,54,,,公司现任及报告期内离任董事和高级管理人员近三年证券监管机构处罚的情况,"{""line"": null, ""text"": ""公司现任及报告期内离任董事和高级管理人员近三年证券监管机构处罚的情况"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 47, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,55,,,□适用 不适用,"{""line"": null, ""text"": ""□适用 不适用"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 47, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,56,,,连续两次未亲自出席董事会的说明,"{""line"": null, ""text"": ""连续两次未亲自出席董事会的说明"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 48, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,57,,,会计师事务所是否出具非标准意见的内部控制审计报告,"{""line"": null, ""text"": ""会计师事务所是否出具非标准意见的内部控制审计报告"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 59, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,58,,,审计报告正文,"{""line"": null, ""text"": ""审计报告正文"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 98, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,59,,,法定代表人：崔鹏 主管会计工作负责人：王凡 会计机构负责人：秦利红,"{""line"": null, ""text"": ""法定代表人：崔鹏 主管会计工作负责人：王凡 会计机构负责人：秦利红"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 101, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,60,,,本期发生同一控制下企业合并的，被合并方在合并前实现的净利润为：0.00 元，上期被合并方实现的净利润为：0.00元。,"{""line"": null, ""text"": ""本期发生同一控制下企业合并的，被合并方在合并前实现的净利润为：0.00 元，上期被合并方实现的净利润为：0.00元。"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 105, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,61,,,法定代表人：崔鹏 主管会计工作负责人：王凡 会计机构负责人：秦利红,"{""line"": null, ""text"": ""法定代表人：崔鹏 主管会计工作负责人：王凡 会计机构负责人：秦利红"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 105, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,62,,,上期金额,"{""line"": null, ""text"": ""上期金额"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 111, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,63,,,按组合计提坏账准备：无风险银行之外的承兑票据组合,"{""line"": null, ""text"": ""按组合计提坏账准备：无风险银行之外的承兑票据组合"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 151, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,64,,,确定该组合依据的说明：,"{""line"": null, ""text"": ""确定该组合依据的说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 151, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
